Vendor,Brand,DS#,UPC,Product Name,Vendor Item#,Wholesale Cost,Drop Ship Cost,MSRP,Case Qty,# Images,Has Compliance Docs,Supplier ID,Source File,File Path
BLADEZ TOYS,BLADEZ,5531372,5060158854875,Hot Wheels Motorised Track Playset (6pcs),BTHW006,5,,16.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531372.json
BLADEZ TOYS,BLADEZ,5531373,5060158856657,Hot Wheels Creative Maker Kitz - Custom Racer Kit Super Van,BTHW-M01V,3.4,,9.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531373.json
BLADEZ TOYS,BLADEZ,5531374,5060158856442,Hot Wheels Bumper Activity Set,BTHW-C08,6.3,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531374.json
BLADEZ TOYS,BLADEZ,5531375,5060158855780,Hot Wheels Motor Maker Kitz - 4x4 Monster Trucks Kit,BTHW-M04,3.1,,9.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531375.json
BLADEZ TOYS,BLADEZ,5531376,5060158854998,Hot Wheels R/C Shark Bite 2 Channel Gyro Helicopter,BTHW-H01,9,,24.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531376.json
BLADEZ TOYS,BLADEZ,5531377,5060158856428,Hot Wheels Motor Maker Kitz - Street Racer Kit,BTHW-M11,2.2,,6.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531377.json
BLADEZ TOYS,BLADEZ,5531378,5060158855377,Hot Wheels Creative Maker Kitz - Custom Racer Kit Rodger Dodger,BTHW-M01Y,3.4,,9.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531378.json
BLADEZ TOYS,BLADEZ,5531379,5060158856268,Hot Wheels TEK Maker Kitz - Motorised Racer Kit,BTHW-ME1,5.95,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531379.json
BLADEZ TOYS,BLADEZ,5531380,5060158855964,Hot Wheels Monster Trucks Crash Zone Twin Pack,BTHW-M04T,6.2,,19.99,4,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531380.json
BLADEZ TOYS,BLADEZ,5531381,5060158856060,Hot Wheels Creative Maker Kitz - Custom Monster Trucks Kit - Town Hauler,BTHW-M04Y,4.8,,14.99,4,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531381.json
